orom gwdww redo,Ghosts exist
orom doodo,Ghost exists
orom doodo,Ghost exists
sim jikor to,Give it back
sim jikor lakv,Give it back
sim jukur to,Give it back
sim jikur lakv,Give it back
patak vm ngom jito,Give me half
patak vm ngam jito,Give me half
patak vm ngom jila kv,Give me half
patak vm ngam jila kv,Give me half
patak vm ngam jila bv ka,Give me half
patak vm ngom jila bv ka,Give me half
iskul vvi lakv,Go to school
iskul vvto,Go to school
alv nv arum,Good evening
alv nv aryum,Good evening
no lvga bv alv pa,Good for you
no lvga bv alv do,Good for you
no lvga bv alv pvkv,Good for you
ngo alak vm gakbww to,Grab my hand
ngo alak vm gakbww lakv,Grab my hand
ngo alak vm gakbww tv kv,Grab my hadn
"Takar, kamto","Grow up, Takar"
"Takar, seecha to","Grow up, Takar"
"Takar, nyilo bv rito","Grow up, Takar"
"Takar, nyilo bv seeto","Grow up, Takar"
"Takar, nyilo bv seela kv","Grow up, Takar"
"Takar, kamcha to","Grow up, Takar"
sim so jito,Hand it over
sim soka jito,Hand it over
sim alak so jito,Hand it over
sim alak soka jito,Hand it over
himpu nv istvr!,Happy Easter!
Takar aapv nv bvri?,Has Takar come?
Takar aapv nv ri?,Has Takar come?
Takar aapv ri?,Has Takar come?
Takar aapvi?,Has Takar come?
Takar vvro pvnv bvri?,Has Takar gone?
Takar vvro pvri?,Has Takar gone?
Takar vvro pvbv ri?,Has Takar gone?
Takar vvro pvnv ri?,Has Takar gone?
Takar vvro pvi?,Has Takar gone?
donvt aku dvto,Have a donut
donvt aku dvla kv,Have a donut
donvt aku dvla ka,Have a donut
donvt aku dvtv ki,Have a donut
donvt aku dvtv la,Have a donut
donvt aku naalai,Have a donut
donvt aku naato,Have a donut
donvt aku naalai kv,Have a donut
donvt aku naalai ki,Have a donut
donvt aku naatv ki,Have a donut
donvt aku naatv la,Have a donut
donvt aku laalai,Have a donut
donvt aku laato,Have a donut
donvt aku laalai kv,Have a donut
donvt aku laalai ki,Have a donut
